Schema,Name,Result data type,Argument data types,Type,Volatility,Parallel,Owner,Security,Access privileges,Language,Source code,Description
pg_catalog,lseg_length,double precision,lseg,func,immutable,safe,postgres,invoker,,internal,lseg_length,implementation of @-@ operator
pg_catalog,lseg_lt,boolean,"lseg, lseg",func,immutable,safe,postgres,invoker,,internal,lseg_lt,implementation of < operator
pg_catalog,lseg_ne,boolean,"lseg, lseg",func,immutable,safe,postgres,invoker,,internal,lseg_ne,implementation of <> operator
pg_catalog,lseg_out,cstring,lseg,func,immutable,safe,postgres,invoker,,internal,lseg_out,I/O
pg_catalog,lseg_parallel,boolean,"lseg, lseg",func,immutable,safe,postgres,invoker,,internal,lseg_parallel,implementation of ?|| operator
pg_catalog,lseg_perp,boolean,"lseg, lseg",func,immutable,safe,postgres,invoker,,internal,lseg_perp,implementation of ?-| operator
pg_catalog,lseg_recv,lseg,internal,func,immutable,safe,postgres,invoker,,internal,lseg_recv,I/O
pg_catalog,lseg_send,bytea,lseg,func,immutable,safe,postgres,invoker,,internal,lseg_send,I/O
pg_catalog,lseg_vertical,boolean,lseg,func,immutable,safe,postgres,invoker,,internal,lseg_vertical,implementation of ?| operator
pg_catalog,ltrim,bytea,"bytea, bytea",func,immutable,safe,postgres,invoker,,internal,bytealtrim,trim selected bytes from left end of string
pg_catalog,ltrim,text,text,func,immutable,safe,postgres,invoker,,internal,ltrim1,trim spaces from left end of string
pg_catalog,ltrim,text,"text, text",func,immutable,safe,postgres,invoker,,internal,ltrim,trim selected characters from left end of string
pg_catalog,macaddr,macaddr,macaddr8,func,immutable,safe,postgres,invoker,,internal,macaddr8tomacaddr,convert macaddr8 to macaddr
pg_catalog,macaddr8,macaddr8,macaddr,func,immutable,safe,postgres,invoker,,internal,macaddrtomacaddr8,convert macaddr to macaddr8
pg_catalog,macaddr8_and,macaddr8,"macaddr8, macaddr8",func,immutable,safe,postgres,invoker,,internal,macaddr8_and,implementation of & operator
pg_catalog,macaddr8_cmp,integer,"macaddr8, macaddr8",func,immutable,safe,postgres,invoker,,internal,macaddr8_cmp,less-equal-greater
pg_catalog,macaddr8_eq,boolean,"macaddr8, macaddr8",func,immutable,safe,postgres,invoker,,internal,macaddr8_eq,implementation of = operator
pg_catalog,macaddr8_ge,boolean,"macaddr8, macaddr8",func,immutable,safe,postgres,invoker,,internal,macaddr8_ge,implementation of >= operator
pg_catalog,macaddr8_gt,boolean,"macaddr8, macaddr8",func,immutable,safe,postgres,invoker,,internal,macaddr8_gt,implementation of > operator
pg_catalog,macaddr8_in,macaddr8,cstring,func,immutable,safe,postgres,invoker,,internal,macaddr8_in,I/O
pg_catalog,macaddr8_le,boolean,"macaddr8, macaddr8",func,immutable,safe,postgres,invoker,,internal,macaddr8_le,implementation of <= operator
pg_catalog,macaddr8_lt,boolean,"macaddr8, macaddr8",func,immutable,safe,postgres,invoker,,internal,macaddr8_lt,implementation of < operator
pg_catalog,macaddr8_ne,boolean,"macaddr8, macaddr8",func,immutable,safe,postgres,invoker,,internal,macaddr8_ne,implementation of <> operator
pg_catalog,macaddr8_not,macaddr8,macaddr8,func,immutable,safe,postgres,invoker,,internal,macaddr8_not,implementation of ~ operator
pg_catalog,macaddr8_or,macaddr8,"macaddr8, macaddr8",func,immutable,safe,postgres,invoker,,internal,macaddr8_or,implementation of | operator
pg_catalog,macaddr8_out,cstring,macaddr8,func,immutable,safe,postgres,invoker,,internal,macaddr8_out,I/O
pg_catalog,macaddr8_recv,macaddr8,internal,func,immutable,safe,postgres,invoker,,internal,macaddr8_recv,I/O
pg_catalog,macaddr8_send,bytea,macaddr8,func,immutable,safe,postgres,invoker,,internal,macaddr8_send,I/O
pg_catalog,macaddr8_set7bit,macaddr8,macaddr8,func,immutable,safe,postgres,invoker,,internal,macaddr8_set7bit,set 7th bit in macaddr8
pg_catalog,macaddr_and,macaddr,"macaddr, macaddr",func,immutable,safe,postgres,invoker,,internal,macaddr_and,implementation of & operator
pg_catalog,macaddr_cmp,integer,"macaddr, macaddr",func,immutable,safe,postgres,invoker,,internal,macaddr_cmp,less-equal-greater
pg_catalog,macaddr_eq,boolean,"macaddr, macaddr",func,immutable,safe,postgres,invoker,,internal,macaddr_eq,implementation of = operator
pg_catalog,macaddr_ge,boolean,"macaddr, macaddr",func,immutable,safe,postgres,invoker,,internal,macaddr_ge,implementation of >= operator
pg_catalog,macaddr_gt,boolean,"macaddr, macaddr",func,immutable,safe,postgres,invoker,,internal,macaddr_gt,implementation of > operator
pg_catalog,macaddr_in,macaddr,cstring,func,immutable,safe,postgres,invoker,,internal,macaddr_in,I/O
pg_catalog,macaddr_le,boolean,"macaddr, macaddr",func,immutable,safe,postgres,invoker,,internal,macaddr_le,implementation of <= operator
pg_catalog,macaddr_lt,boolean,"macaddr, macaddr",func,immutable,safe,postgres,invoker,,internal,macaddr_lt,implementation of < operator
pg_catalog,macaddr_ne,boolean,"macaddr, macaddr",func,immutable,safe,postgres,invoker,,internal,macaddr_ne,implementation of <> operator
pg_catalog,macaddr_not,macaddr,macaddr,func,immutable,safe,postgres,invoker,,internal,macaddr_not,implementation of ~ operator
pg_catalog,macaddr_or,macaddr,"macaddr, macaddr",func,immutable,safe,postgres,invoker,,internal,macaddr_or,implementation of | operator
pg_catalog,macaddr_out,cstring,macaddr,func,immutable,safe,postgres,invoker,,internal,macaddr_out,I/O
pg_catalog,macaddr_recv,macaddr,internal,func,immutable,safe,postgres,invoker,,internal,macaddr_recv,I/O
pg_catalog,macaddr_send,bytea,macaddr,func,immutable,safe,postgres,invoker,,internal,macaddr_send,I/O
pg_catalog,macaddr_sortsupport,void,internal,func,immutable,safe,postgres,invoker,,internal,macaddr_sortsupport,sort support
pg_catalog,make_date,date,"year integer, month integer, day integer",func,immutable,safe,postgres,invoker,,internal,make_date,construct date
pg_catalog,make_interval,interval,"years integer DEFAULT 0, months integer DEFAULT 0, weeks integer DEFAULT 0, days integer DEFAULT 0, hours integer DEFAULT 0, mins integer DEFAULT 0, secs double precision DEFAULT 0.0",func,immutable,safe,postgres,invoker,,internal,make_interval,construct interval
pg_catalog,make_time,time without time zone,"hour integer, min integer, sec double precision",func,immutable,safe,postgres,invoker,,internal,make_time,construct time
pg_catalog,make_timestamp,timestamp without time zone,"year integer, month integer, mday integer, hour integer, min integer, sec double precision",func,immutable,safe,postgres,invoker,,internal,make_timestamp,construct timestamp
pg_catalog,make_timestamptz,timestamp with time zone,"year integer, month integer, mday integer, hour integer, min integer, sec double precision",func,stable,safe,postgres,invoker,,internal,make_timestamptz,construct timestamp with time zone
pg_catalog,make_timestamptz,timestamp with time zone,"year integer, month integer, mday integer, hour integer, min integer, sec double precision, timezone text",func,stable,safe,postgres,invoker,,internal,make_timestamptz_at_timezone,construct timestamp with time zone
pg_catalog,makeaclitem,aclitem,"oid, oid, text, boolean",func,immutable,safe,postgres,invoker,,internal,makeaclitem,make ACL item
